variable,data_type,description,disposition,topic,subtopic,record_level
TJOREDT_STD,Numeric,Standard deviation of topcoded values for TJOREDEBTVAL,0,Assets,Assets,Person
TJOREVAL,Numeric,Share of value of jointly-owned other real estate as of the last day of the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Assets,Person
TJOREVL_MED,Numeric,Median of topcoded values for TJOREVAL,0,Assets,Assets,Person
TJOREVL_STD,Numeric,Standard deviation of topcoded values for TJOREVAL,0,Assets,Assets,Person
TJOSAVINC,Numeric,Share of total interest income earned over the reference period from jointly-owned savings accounts [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Assets,Person
TJOSAVVAL,Numeric,Share of value of jointly-owned savings accounts as of the last day of the reference period [for respondents without a spouse in the household either at the end of the reference period or at the time of interview or without a civil union partner in the household at the end of the reference period].,2,Assets,Assets,Person
TJOSVNC_MED,Numeric,Median of topcoded values for TJOSAVINC,0,Assets,Assets,Person
TJOSVNC_STD,Numeric,Standard deviation of topcoded values for TJOSAVINC,0,Assets,Assets,Person
TJOSVVL_MED,Numeric,Median of topcoded values for TJOSAVVAL,0,Assets,Assets,Person
TJOSVVL_STD,Numeric,Standard deviation of topcoded values for TJOSAVVAL,0,Assets,Assets,Person
TJSBDNC_MED,Numeric,Median of topcoded values for TJSMCBDINC,0,Assets,Assets,Person
TJSBDNC_STD,Numeric,Standard deviation of topcoded values for TJSMCBDINC,0,Assets,Assets,Person
TJSBDVL_MED,Numeric,Median of topcoded values for TJSMCBDVAL,0,Assets,Assets,Person
TJSBDVL_STD,Numeric,Standard deviation of topcoded values for TJSMCBDVAL,0,Assets,Assets,Person
TJSCDINC,Numeric,"Share of total interest income earned over the reference period from jointly-owned certificates of deposit [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse/partner, and this response is divided by 2 and copied to both spouses'/partners' records].",2,Assets,Assets,Person
TJSCDNC_MED,Numeric,Median of topcoded values for TJSCDINC,0,Assets,Assets,Person
TJSCDNC_STD,Numeric,Standard deviation of topcoded values for TJSCDINC,0,Assets,Assets,Person
TJSCDVAL,Numeric,"Share of value of jointly-owned certificates of deposit (CDs) as of the last day of the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",2,Assets,Assets,Person
TJSCDVL_MED,Numeric,Median of topcoded values for TJSCDVAL,0,Assets,Assets,Person
TJSCDVL_STD,Numeric,Standard deviation of topcoded values for TJSCDVAL,0,Assets,Assets,Person
TJSCHKINC,Numeric,"Share of total interest income earned over the reference period from jointly-owned checking accounts [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse/partner, and this response is divided by 2 and copied to both spouses'/partners' records].",2,Assets,Assets,Person
TJSCHKVAL,Numeric,"Share of value of jointly-owned checking accounts as of the last day of the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",2,Assets,Assets,Person
TJSCKINC_MED,Numeric,Median of topcoded values for TJSCHKINC (by demographic group),0,Assets,Assets,Person
TJSCKINC_STD,Numeric,Standard deviation of topcoded values for TJSCHKINC (by demographic group),0,Assets,Assets,Person
TJSCKVL_MED,Numeric,Median of topcoded values for TJSCHKVAL,0,Assets,Assets,Person
TJSCKVL_STD,Numeric,Standard deviation of topcoded values for TJSCHKVAL,0,Assets,Assets,Person
TJSGOVSINC,Numeric,"Share of total interest income earned over the reference period from jointly-owned government securities [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse/partner, and this response is divided by 2 and copied to both spouses'/partners' records].",2,Assets,Assets,Person
TJSGOVSVAL,Numeric,"Share of value of jointly-owned government securities as of the last day of the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",2,Assets,Assets,Person
TJSGVNC_MED,Numeric,Median of topcoded values for TJSGOVSINC,0,Assets,Assets,Person
TJSGVNC_STD,Numeric,Standard deviation of topcoded values for TJSGOVSINC,0,Assets,Assets,Person
TJSGVVL_MED,Numeric,Median of topcoded values for TJSGOVSVAL,0,Assets,Assets,Person
TJSGVVL_STD,Numeric,Standard deviation of topcoded values for TJSGOVSVAL,0,Assets,Assets,Person
TJSMCBDINC,Numeric,"Share of total interest income earned over the reference period from jointly-owned municipal and corporate bonds [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse/partner, and this response is divided by 2 and copied to both spouses'/partners' records].",2,Assets,Assets,Person
TJSMCBDVAL,Numeric,"Share of value of jointly-owned municipal and corporate bonds as of the last day of the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",2,Assets,Assets,Person
TJSMMINC,Numeric,"Share of total interest income earned over the reference period from jointly-owned money market deposit accounts and money market funds [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse/partner, and this response is divided by 2 and copied to both spouses'/partners' records].",2,Assets,Assets,Person
TJSMMNC_MED,Numeric,Median of topcoded values for TJSMMINC,0,Assets,Assets,Person
TJSMMNC_STD,Numeric,Standard deviation of topcoded values for TJSMMINC,0,Assets,Assets,Person
TJSMMVAL,Numeric,"Share of value of jointly-owned money market deposit accounts and money market funds as of the last day of the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",2,Assets,Assets,Person
TJSMMVL_MED,Numeric,Median of topcoded values for TJSMMVAL,0,Assets,Assets,Person
TJSMMVL_STD,Numeric,Standard deviation of topcoded values for TJSMMVAL,0,Assets,Assets,Person
TJSREDEBTVAL,Numeric,"Share of debt against jointly-owned other real estate as of the last day of the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",2,Assets,Assets,Person
TJSREDT_MED,Numeric,Median of topcoded values for TJSREDEBTVAL,0,Assets,Assets,Person
TJSREDT_STD,Numeric,Standard deviation of topcoded values for TJSREDEBTVAL,0,Assets,Assets,Person
TJSREVAL,Numeric,"Share of value of jointly-owned other real estate as of the last day of the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",2,Assets,Assets,Person
TJSREVL_MED,Numeric,Median of topcoded values for TJSREVAL,0,Assets,Assets,Person
TJSREVL_STD,Numeric,Standard deviation of topcoded values for TJSREVAL,0,Assets,Assets,Person
TJSSAVINC,Numeric,"Share of total interest income earned over the reference period from jointly-owned savings accounts [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse/partner, and this response is divided by 2 and copied to both spouses'/partners' records].",2,Assets,Assets,Person
TJSSAVVAL,Numeric,"Share of value of jointly-owned savings accounts as of the last day of the reference period [for respondents with a spouse or civil union partner in the household; this joint amount question is asked of only one spouse or partner, and this response is divided by 2 and copied to both spouses'/partners' records].",2,Assets,Assets,Person
TJSSVNC_MED,Numeric,Median of topcoded values for TJSSAVINC,0,Assets,Assets,Person
TJSSVNC_STD,Numeric,Standard deviation of topcoded values for TJSSAVINC,0,Assets,Assets,Person
TJSSVVL_MED,Numeric,Median of topcoded values for TJSSAVVAL,0,Assets,Assets,Person
TJSSVVL_STD,Numeric,Standard deviation of topcoded values for TJSSAVVAL,0,Assets,Assets,Person
TOBDNC_MED,Numeric,Median of topcoded values for TOMCBDINC,0,Assets,Assets,Person
TOBDNC_STD,Numeric,Standard deviation of topcoded values for TOMCBDINC,0,Assets,Assets,Person
TOBDVL_MED,Numeric,Median of topcoded values for TOMCBDVAL,0,Assets,Assets,Person
TOBDVL_STD,Numeric,Standard deviation of topcoded values for TOMCBDVAL,0,Assets,Assets,Person
TOCDINC,Numeric,Total interest income earned over the reference period from individually-owned certificates of deposit [for all respondents].,2,Assets,Assets,Person
TOCDNC_MED,Numeric,Median of topcoded values for TOCDINC,0,Assets,Assets,Person
TOCDNC_STD,Numeric,Standard deviation of topcoded values for TOCDINC,0,Assets,Assets,Person
TOCDVAL,Numeric,Value of individually-owned certificates of deposits (CDs) as of the last day of the reference period.,2,Assets,Assets,Person
TOCDVL_MED,Numeric,Median of topcoded values for TOCDVAL,0,Assets,Assets,Person
TOCDVL_STD,Numeric,Standard deviation of topcoded values for TOCDVAL,0,Assets,Assets,Person
TOCHKINC,Numeric,Total interest income earned over the reference period from individually-owned checking accounts.,1,Assets,Assets,Person
TOCHKVAL,Numeric,Value of individually-owned checking accounts as of the last day of the reference period.,1,Assets,Assets,Person
TOCKINC_MED,Numeric,Median of topcoded values for TOCHKINC (by demographic group),0,Assets,Assets,Person
TOCKINC_STD,Numeric,Standard deviation of topcoded values for TOCHKINC (by demographic group),0,Assets,Assets,Person
TOCKVL_MED,Numeric,Median of topcoded values for TOCHKVAL (by demographic group),0,Assets,Assets,Person
TOCKVL_STD,Numeric,Standard deviation of topcoded values for TOCHKVAL (by demographic group),0,Assets,Assets,Person
TOGOVSINC,Numeric,Total interest income earned over the reference period from individually-owned government securities.,2,Assets,Assets,Person
TOGOVSVAL,Numeric,Value of individually-owned government securities as of the last day of the reference period.,1,Assets,Assets,Person
TOGVNC_MED,Numeric,Median of topcoded values for TOGOVSINC,0,Assets,Assets,Person
TOGVNC_STD,Numeric,Standard deviation of topcoded values for TOGOVSINC,0,Assets,Assets,Person
TOGVVL_MED,Numeric,Median of topcoded values for TOGOVSVAL,0,Assets,Assets,Person
TOGVVL_STD,Numeric,Standard deviation of topcoded values for TOGOVSVAL,0,Assets,Assets,Person
TOINVINC,Numeric,Amount of income received over the reference period from other financial investments.,1,Assets,Assets,Person
TOINVVAL,Numeric,Total balance or market value of other financial investments as of the last day of the reference period.,1,Assets,Assets,Person
TOINVVL_MED,Numeric,Median of topcoded values for TOINVVAL,0,Assets,Assets,Person
TOINVVL_STD,Numeric,Standard deviation of topcoded values for TOINVVAL,0,Assets,Assets,Person
TOINV_BMED,Numeric,Median of bottomcoded values for TOINVINC,0,Assets,Assets,Person
TOINV_BSTD,Numeric,Standard deviation of bottomcoded values for TOINVINC,0,Assets,Assets,Person
TOINV_TMED,Numeric,Median of topcoded values for TOINVINC,0,Assets,Assets,Person
TOINV_TSTD,Numeric,Standard deviation of topcoded values for TOINVINC,0,Assets,Assets,Person
TOMCBDINC,Numeric,Total interest income earned over the reference period from individually-owned municipal and corporate bonds.,2,Assets,Assets,Person
TOMCBDVAL,Numeric,Value of individually-owned municipal and corporate bonds as of the last day of the reference period.,2,Assets,Assets,Person
TOMMINC,Numeric,Total interest income earned over the reference period from individually-owned money market deposit accounts and money market funds.,1,Assets,Assets,Person
TOMMNC_MED,Numeric,Median of topcoded values for TOMMINC,0,Assets,Assets,Person
TOMMNC_STD,Numeric,Standard deviation of topcoded values for TOMMINC,0,Assets,Assets,Person
TOMMVAL,Numeric,Value of individually-owned money market deposit accounts and money market funds as of the last day of the reference period.,1,Assets,Assets,Person
TOMMVL_MED,Numeric,Median of topcoded values for TOMMVAL,0,Assets,Assets,Person
TOMMVL_STD,Numeric,Standard deviation of topcoded values for TOMMVAL,0,Assets,Assets,Person
TOREDEBTVAL,Numeric,Total debt against other real estate owned in own name as of the last day of the reference period.,2,Assets,Assets,Person
TOREDT_MED,Numeric,Median of topcoded values for TOREDEBTVAL,0,Assets,Assets,Person
TOREDT_STD,Numeric,Standard deviation of topcoded values for TOREDEBTVAL,0,Assets,Assets,Person
TOREVAL,Numeric,Value of other real estate owned in own name as of the last day of the reference period.,1,Assets,Assets,Person
TOREVL_MED,Numeric,Median of topcoded values for TOREVAL,0,Assets,Assets,Person
TOREVL_STD,Numeric,Standard deviation of topcoded values for TOREVAL,0,Assets,Assets,Person
TOSAVINC,Numeric,Total interest income earned over the reference period from individually-owned savings accounts.,2,Assets,Assets,Person
TOSAVVAL,Numeric,Value of individually-owned savings accounts as of the last day of the reference period.,1,Assets,Assets,Person
TOSVNC_MED,Numeric,Median of topcoded values for TOSAVINC (by demographic group),0,Assets,Assets,Person
TOSVNC_STD,Numeric,Standard deviation of topcoded values for TOSAVINC (by demographic group),0,Assets,Assets,Person
TOSVVL_MED,Numeric,Median of topcoded values for TOSAVVAL (by demographic group),0,Assets,Assets,Person
TOSVVL_STD,Numeric,Standard deviation of topcoded values for TOSAVVAL (by demographic group),0,Assets,Assets,Person
TTH401_MED,Numeric,Median of topcoded values for TTHR401VAL (by demographic group),0,Assets,Assets,Person
TTH401_STD,Numeric,Standard deviation of topcoded values for TTHR401VAL (by demographic group),0,Assets,Assets,Person
TTHR401VAL,Numeric,"Value of 401k, 403b, 503b, and Thrift Savings Plan accounts as of the last day of the reference period.",1,Assets,Assets,Person
TVEHDT_MED,Numeric,Median of topcoded values for TVEH(1-3)DEBTVAL (by demographic group),0,Assets,Assets,Household
TVEHDT_STD,Numeric,Standard deviation of topcoded values for TVEH(1-3)DEBTVAL (by demographic group),0,Assets,Assets,Household
TVEHVL_MED,Numeric,Median of topcoded values for TVEH(1-3)VAL (by demographic group),0,Assets,Assets,Household
TVEHVL_STD,Numeric,Standard deviation of topcoded values for TVEH(1-3)VAL (by demographic group),0,Assets,Assets,Household
TDEBT_AST,Numeric,"Person-level sum of all debt (TDEBT_SEC, TDEBT_USEC).",1,Assets,Assets Recodes,Person
TDEBT_BUS,Numeric,Person-level sum of debt against businesses in which the person owns a share (TBSI(i)PEROWN/100*TBSI(i)DEBT (for i=1 to 3) + TBSJ(j)PEROWN/100*TBSJ(j)DEBT (for j=1 to 7) ).,1,Assets,Assets Recodes,Person
TDEBT_HOME,Numeric,"Person-level sum of debt against primary residence (sum of either TPRLOAN(i)AMT or TMHLOAN(i)AMT for i=1,2,3) in which the person is an owner of the residence. The home's debt is divided equally among its total number of owners.",1,Assets,Assets Recodes,Person
TDEBT_RE,Numeric,"Person-level sum of debt against other real estate (TJSREDEBTVAL, TJOREDEBTVAL, TOREDEBTVAL).",2,Assets,Assets Recodes,Person
TDEBT_RENT,Numeric,"Person-level sum of debt against rental properties (TJSRPDEBTVAL, TJORPDEBTVAL, TORPDEBTVAL).",2,Assets,Assets Recodes,Person
TDEBT_SEC,Numeric,"Person-level sum of all secured debt (TDEBT_HOME, TDEBT_VEH, TDEBT_RENT, TDEBT_RE, TDEBT_BUS).",1,Assets,Assets Recodes,Person
TDEBT_USEC,Numeric,"Person-level sum of value of amount owed on all unsecured debt (TDEBT_CC, TDEBT_ED, TDEBT_OT, TMED_AMT)",1,Assets,Assets Recodes,Person
TDEBT_VEH,Numeric,"Person-level sum of debt against all vehicles in which the person owns a share (as indicated by the variables EVEH(i)OWNER(j) for i=1,2,3 and j=1,2,3 and E(AST)OWNER(j) for AST=MCYC, BOAT, RV, OREC and j=1,2,3). Each vehicle's debt value (TVEH(i)DEBTVAL for i=1,2,3 and T(AST)DEBTVAL for AST=MCYC, BOAT, RV, OREC) is divided equally among its total number of owners.",2,Assets,Assets Recodes,Person
TEQ_BUS,Numeric,"Person-level sum of equity in businesses (TVAL_BUS, -TDEBT_BUS).",1,Assets,Assets Recodes,Person
TEQ_HOME,Numeric,Person-level sum of equity in primary residence (TVAL_HOME -TDEBT_HOME),1,Assets,Assets Recodes,Person
TEQ_RE,Numeric,"Person-level sum of equity in other real estate (TVAL_RE, -TDEBT_RE).",1,Assets,Assets Recodes,Person
TEQ_RENT,Numeric,"Person-level sum of equity in rental properties (TVAL_RENT, -TDEBT_RENT).",1,Assets,Assets Recodes,Person
TEQ_VEH,Numeric,"Person-level sum of equity in vehicles (TVAL_VEH, -TDEBT_VEH).",1,Assets,Assets Recodes,Person
THDEBT_AST,Numeric,"Household-level sum of all debt (TDEBT_AST) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THDEBT_BUS,Numeric,"Household-level sum of debt against businesses (TDEBT_BUS) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THDEBT_CC,Numeric,"Household-level sum of amount owed on credit card debt and store bills (TDEBT_CC) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THDEBT_ED,Numeric,"Household-level sum of amount owed on student loans and educational expenses (TDEBT_ED) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THDEBT_HOME,Numeric,"Household-level sum of debt against primary residence (TDEBT_HOME) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THDEBT_OT,Numeric,"Household-level sum of amount owed on other debt (TDEBT_OT) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THDEBT_RE,Numeric,"Household-level sum of debt against other real estate (TDEBT_RE) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THDEBT_RENT,Numeric,"Household-level sum of debt against rental properties (TDEBT_RENT) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THDEBT_SEC,Numeric,"Household-level sum of all secured debt (TDEBT_SEC) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THDEBT_USEC,Numeric,"Household-level sum of value of amount owed on all unsecured debt (TDEBT_USEC) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THDEBT_VEH,Numeric,"Household-level sum of debt against all vehicles (TDEBT_VEH) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THEQ_BUS,Numeric,"Household-level sum of equity in businesses (REQ_BUS) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THEQ_HOME,Numeric,"Household-level sum of equity in primary residence (TEQ_HOME) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
THEQ_RE,Numeric,"Household-level sum of equity in other real estate (TEQ_RE) [this is household-level data, therefore this value is copied to every member of the household].",,Assets,Assets Recodes,Household
